221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-3.353592E-03,+1.951027E+00,+2.711800E+01,+1.538300E+01,+1.364400E+01,+2.912200E+01,+1.906500E+01,+1.907400E+01
-6.376158E-03,+1.944751E+00,+2.712400E+01,+1.538300E+01,+1.364700E+01,+2.912200E+01,+1.906400E+01,+1.907000E+01
-3.035416E-03,+1.947748E+00,+2.712300E+01,+1.538100E+01,+1.364000E+01,+2.912300E+01,+1.906300E+01,+1.907100E+01
-4.822754E-03,+1.952620E+00,+2.711900E+01,+1.537900E+01,+1.364000E+01,+2.912300E+01,+1.906200E+01,+1.906700E+01
-7.382119E-03,+1.962175E+00,+2.712600E+01,+1.538000E+01,+1.363700E+01,+2.912600E+01,+1.906100E+01,+1.906400E+01
-1.439890E-03,+1.947186E+00,+2.712100E+01,+1.538000E+01,+1.362900E+01,+2.912200E+01,+1.905900E+01,+1.905900E+01
-6.259182E-03,+1.953416E+00,+2.711300E+01,+1.537400E+01,+1.362900E+01,+2.912100E+01,+1.905800E+01,+1.905700E+01
-4.317431E-03,+1.945781E+00,+2.711900E+01,+1.537900E+01,+1.362400E+01,+2.912100E+01,+1.905700E+01,+1.905200E+01
-5.351479E-03,+1.939692E+00,+2.710300E+01,+1.537100E+01,+1.361900E+01,+2.911400E+01,+1.905400E+01,+1.904800E+01
-6.441664E-03,+1.954821E+00,+2.710800E+01,+1.537200E+01,+1.361600E+01,+2.911200E+01,+1.905400E+01,+1.904300E+01
-2.445851E-03,+1.944938E+00,+2.710100E+01,+1.536800E+01,+1.360900E+01,+2.910800E+01,+1.905200E+01,+1.904000E+01
-3.755972E-03,+1.952901E+00,+2.710200E+01,+1.536700E+01,+1.360800E+01,+2.911200E+01,+1.905500E+01,+1.903500E+01
-4.691744E-03,+1.953791E+00,+2.709700E+01,+1.536100E+01,+1.360300E+01,+2.910900E+01,+1.905400E+01,+1.903100E+01
-4.270644E-03,+1.944376E+00,+2.708800E+01,+1.535800E+01,+1.360000E+01,+2.911400E+01,+1.905400E+01,+1.902900E+01
-3.470549E-03,+1.958896E+00,+2.708300E+01,+1.535600E+01,+1.359800E+01,+2.911300E+01,+1.905300E+01,+1.902400E+01
-7.031209E-03,+1.940301E+00,+2.708000E+01,+1.535300E+01,+1.359200E+01,+2.911400E+01,+1.905300E+01,+1.902000E+01
-5.276624E-03,+1.956460E+00,+2.708000E+01,+1.535100E+01,+1.358900E+01,+2.911600E+01,+1.905100E+01,+1.901800E+01
-7.171570E-03,+1.947842E+00,+2.707600E+01,+1.535000E+01,+1.358200E+01,+2.911400E+01,+1.905300E+01,+1.901500E+01
-4.130285E-03,+1.946484E+00,+2.706000E+01,+1.534100E+01,+1.357400E+01,+2.911100E+01,+1.905300E+01,+1.901500E+01
-6.090754E-03,+1.939739E+00,+2.705900E+01,+1.534200E+01,+1.357100E+01,+2.911300E+01,+1.904800E+01,+1.900900E+01
-1.177870E-03,+1.942175E+00,+2.705200E+01,+1.533600E+01,+1.356800E+01,+2.911200E+01,+1.904500E+01,+1.901100E+01
-5.080109E-03,+1.948217E+00,+2.705700E+01,+1.533600E+01,+1.356700E+01,+2.911100E+01,+1.904600E+01,+1.901000E+01
-4.499912E-03,+1.959411E+00,+2.704500E+01,+1.532800E+01,+1.356500E+01,+2.910500E+01,+1.904300E+01,+1.901300E+01
-4.846157E-03,+1.949247E+00,+2.705200E+01,+1.532800E+01,+1.356200E+01,+2.910600E+01,+1.904300E+01,+1.901100E+01
-5.613499E-03,+1.960957E+00,+2.703700E+01,+1.532500E+01,+1.356100E+01,+2.910800E+01,+1.904400E+01,+1.901400E+01
-5.150279E-03,+1.945875E+00,+2.703500E+01,+1.532200E+01,+1.356000E+01,+2.910700E+01,+1.904300E+01,+1.900900E+01
-5.351479E-03,+1.949528E+00,+2.703400E+01,+1.531900E+01,+1.355900E+01,+2.910600E+01,+1.903900E+01,+1.900800E+01
-9.520385E-03,+1.946905E+00,+2.703900E+01,+1.532000E+01,+1.355800E+01,+2.910700E+01,+1.904100E+01,+1.900900E+01
-6.965705E-03,+1.955992E+00,+2.703500E+01,+1.531800E+01,+1.355800E+01,+2.910600E+01,+1.903900E+01,+1.900600E+01
-9.361307E-03,+1.950605E+00,+2.702700E+01,+1.531300E+01,+1.355600E+01,+2.910500E+01,+1.903600E+01,+1.900400E+01
-3.802759E-03,+1.939880E+00,+2.703700E+01,+1.531600E+01,+1.355600E+01,+2.910600E+01,+1.903500E+01,+1.900300E+01
-4.425058E-03,+1.943205E+00,+2.702700E+01,+1.531000E+01,+1.355400E+01,+2.910400E+01,+1.903800E+01,+1.899900E+01
-7.428906E-03,+1.941472E+00,+2.702300E+01,+1.530700E+01,+1.355700E+01,+2.910400E+01,+1.903500E+01,+1.899600E+01
