221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-4.359553E-03,+1.964189E+00,+2.674300E+01,+1.613700E+01,+1.453600E+01,+3.513300E+01,+2.400500E+01,+1.955000E+01
-9.057184E-03,+1.951870E+00,+2.674000E+01,+1.613600E+01,+1.453500E+01,+3.513200E+01,+2.400300E+01,+1.954500E+01
-3.882298E-03,+1.958053E+00,+2.674600E+01,+1.613900E+01,+1.453200E+01,+3.513200E+01,+2.400700E+01,+1.954200E+01
-5.033303E-03,+1.960957E+00,+2.675000E+01,+1.613900E+01,+1.453000E+01,+3.513600E+01,+2.400700E+01,+1.953500E+01
-9.932134E-03,+1.962409E+00,+2.674400E+01,+1.613500E+01,+1.452700E+01,+3.513400E+01,+2.400900E+01,+1.953600E+01
-6.549271E-03,+1.956507E+00,+2.674200E+01,+1.613600E+01,+1.452500E+01,+3.513800E+01,+2.401000E+01,+1.953300E+01
-5.314042E-03,+1.958287E+00,+2.674100E+01,+1.613300E+01,+1.452400E+01,+3.513800E+01,+2.401400E+01,+1.952600E+01
-4.621573E-03,+1.951964E+00,+2.674700E+01,+1.613500E+01,+1.451800E+01,+3.513800E+01,+2.401700E+01,+1.952900E+01
-6.530571E-03,+1.966952E+00,+2.674300E+01,+1.613200E+01,+1.451300E+01,+3.513600E+01,+2.402100E+01,+1.952300E+01
-5.370198E-03,+1.951027E+00,+2.674200E+01,+1.613200E+01,+1.451300E+01,+3.513400E+01,+2.402500E+01,+1.952500E+01
-6.067351E-03,+1.956320E+00,+2.674100E+01,+1.613000E+01,+1.451200E+01,+3.513300E+01,+2.402600E+01,+1.952300E+01
-5.505873E-03,+1.962221E+00,+2.673900E+01,+1.612900E+01,+1.451300E+01,+3.513300E+01,+2.402900E+01,+1.952400E+01
-5.351479E-03,+1.963908E+00,+2.673800E+01,+1.613000E+01,+1.450800E+01,+3.513200E+01,+2.403100E+01,+1.952200E+01
-6.493134E-03,+1.956554E+00,+2.673900E+01,+1.612800E+01,+1.451000E+01,+3.513900E+01,+2.403300E+01,+1.952200E+01
-6.937636E-03,+1.955758E+00,+2.674900E+01,+1.612900E+01,+1.451200E+01,+3.513700E+01,+2.404100E+01,+1.952300E+01
-5.936341E-03,+1.961238E+00,+2.674500E+01,+1.612600E+01,+1.451300E+01,+3.514000E+01,+2.403800E+01,+1.952500E+01
-7.035894E-03,+1.960863E+00,+2.674000E+01,+1.613000E+01,+1.451400E+01,+3.513600E+01,+2.404300E+01,+1.952500E+01
-1.059185E-02,+1.960488E+00,+2.674800E+01,+1.613000E+01,+1.451200E+01,+3.514300E+01,+2.404500E+01,+1.952300E+01
-7.073312E-03,+1.959130E+00,+2.673800E+01,+1.612900E+01,+1.451200E+01,+3.514400E+01,+2.404900E+01,+1.952700E+01
-6.797257E-03,+1.966296E+00,+2.674600E+01,+1.613100E+01,+1.451600E+01,+3.514100E+01,+2.405000E+01,+1.952700E+01
-8.696906E-03,+1.970231E+00,+2.674400E+01,+1.613100E+01,+1.451400E+01,+3.514300E+01,+2.405300E+01,+1.952900E+01
-4.850841E-03,+1.968966E+00,+2.674500E+01,+1.612900E+01,+1.451600E+01,+3.514200E+01,+2.405500E+01,+1.952900E+01
-7.316614E-03,+1.957022E+00,+2.674200E+01,+1.612700E+01,+1.450800E+01,+3.514300E+01,+2.405300E+01,+1.952800E+01
-6.600742E-03,+1.958662E+00,+2.674700E+01,+1.613000E+01,+1.451200E+01,+3.514100E+01,+2.405400E+01,+1.953200E+01
-8.500391E-03,+1.968264E+00,+2.673900E+01,+1.612600E+01,+1.451400E+01,+3.514200E+01,+2.405700E+01,+1.953300E+01
-8.767077E-03,+1.958662E+00,+2.673900E+01,+1.612900E+01,+1.451800E+01,+3.513900E+01,+2.405600E+01,+1.953700E+01
-7.391488E-03,+1.961425E+00,+2.674400E+01,+1.613000E+01,+1.451600E+01,+3.514000E+01,+2.405400E+01,+1.953900E+01
