221(),222(),301(C),303(C),304(C),305(C),306(C),308(C)
-1.633756E-02,+3.183259E+00,+2.672300E+01,+1.645900E+01,+1.464100E+01,+3.529700E+01,+2.396700E+01,+1.976100E+01
-1.651536E-02,+3.190894E+00,+2.672400E+01,+1.645200E+01,+1.463600E+01,+3.529500E+01,+2.396700E+01,+1.975800E+01
-1.801730E-02,+3.192392E+00,+2.672300E+01,+1.645000E+01,+1.463400E+01,+3.529300E+01,+2.396700E+01,+1.975400E+01
-1.333838E-02,+3.183774E+00,+2.672000E+01,+1.644300E+01,+1.462800E+01,+3.529300E+01,+2.396800E+01,+1.974700E+01
-1.536902E-02,+3.189535E+00,+2.671000E+01,+1.643400E+01,+1.462200E+01,+3.529400E+01,+2.396800E+01,+1.974200E+01
-1.514912E-02,+3.189207E+00,+2.671500E+01,+1.643300E+01,+1.462200E+01,+3.529400E+01,+2.397300E+01,+1.974900E+01
-2.112409E-02,+3.200308E+00,+2.670300E+01,+1.642300E+01,+1.461300E+01,+3.529200E+01,+2.397300E+01,+1.973700E+01
-1.482628E-02,+3.189957E+00,+2.670400E+01,+1.641400E+01,+1.461700E+01,+3.529600E+01,+2.397300E+01,+1.973600E+01
-1.792839E-02,+3.190285E+00,+2.669500E+01,+1.640900E+01,+1.460700E+01,+3.529400E+01,+2.397300E+01,+1.973500E+01
-1.658555E-02,+3.193001E+00,+2.668900E+01,+1.640200E+01,+1.460500E+01,+3.529200E+01,+2.397500E+01,+1.973300E+01
-1.475609E-02,+3.178341E+00,+2.669800E+01,+1.639800E+01,+1.459800E+01,+3.529800E+01,+2.397500E+01,+1.972900E+01
-1.470931E-02,+3.195109E+00,+2.669400E+01,+1.639100E+01,+1.459300E+01,+3.529900E+01,+2.397700E+01,+1.972800E+01
-1.724995E-02,+3.192439E+00,+2.669100E+01,+1.638400E+01,+1.459300E+01,+3.529800E+01,+2.397900E+01,+1.972400E+01
-1.831674E-02,+3.191221E+00,+2.668800E+01,+1.638200E+01,+1.458100E+01,+3.529600E+01,+2.398100E+01,+1.972200E+01
-1.406829E-02,+3.197451E+00,+2.669100E+01,+1.637900E+01,+1.458000E+01,+3.530100E+01,+2.398200E+01,+1.972500E+01
